file_name,mse_avg,mse_std,r2_avg,r2_std,mse,r2,best_model_filename,best_r2
Radiomic_Features_CaPTk_automaticsegm_DTI_FA_ET.csv,148152.3125,24272.66081467819,-0.012804102897644044,0.052101730164238004,"[188987.75, 152532.703125, 115096.515625, 135272.640625, 148871.953125]","[0.04565441608428955, -0.049967050552368164, -0.058329105377197266, 0.05591630935668945, -0.05729508399963379]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DTI_FA_ET.csv.h5,0.05591630935668945
Radiomic_Features_CaPTk_automaticsegm_T2_ET.csv,122192.25625,18788.78811486333,-0.04206075668334961,0.03345677723941609,"[155521.75, 99864.4765625, 113243.46875, 115102.796875, 127228.7890625]","[-0.013601541519165039, -0.015352368354797363, -0.0768887996673584, -0.015804767608642578, -0.08865630626678467]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_T2_ET.csv.h5,-0.013601541519165039
Radiomic_Features_CaPTk_segm_DTI_TR_ET.csv,158890.3953125,48686.644776986526,-0.42021440267562865,0.5557493859471683,"[73511.4921875, 155451.03125, 223811.8125, 175850.828125, 165826.8125]","[-1.502366542816162, -0.3159492015838623, -0.09285175800323486, -0.24260926246643066, 0.05270475149154663]",best_linear_model_for_Radiomic_Features_CaPTk_segm_DTI_TR_ET.csv.h5,0.05270475149154663
Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_ET.csv,168002.228125,64625.1675318221,-0.06045718193054199,0.08154088353231115,"[250033.84375, 123348.546875, 107398.78125, 243710.359375, 115519.609375]","[-0.049275875091552734, -0.12160086631774902, -0.18073081970214844, 0.03924006223678589, 0.010081589221954346]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DSC_PSR_ET.csv.h5,0.03924006223678589
Radiomic_Features_CaPTk_automaticsegm_DSC_ap-rCBV_ED.csv,149921.6796875,30233.59166528117,0.03981958627700806,0.1201557878111236,"[154401.390625, 123462.6484375, 172005.6875, 190872.34375, 108866.328125]","[-0.12214720249176025, 0.22789400815963745, -0.05182981491088867, 0.07673555612564087, 0.06844538450241089]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DSC_ap-rCBV_ED.csv.h5,0.22789400815963745
Radiomic_Features_CaPTk_segm_T2_ET.csv,194829.484375,35879.012614615065,-0.2656031370162964,0.15459796946369,"[167334.359375, 160815.46875, 240464.875, 236788.453125, 168744.265625]","[-0.4322662353515625, -0.33860206604003906, -0.2764967679977417, -0.3059898614883423, 0.025339245796203613]",best_linear_model_for_Radiomic_Features_CaPTk_segm_T2_ET.csv.h5,0.025339245796203613
Radiomic_Features_CaPTk_automaticsegm_DSC_ap-rCBV_ET.csv,174211.60625,75520.03693427276,-0.07708582878112794,0.04961301238850631,"[239373.640625, 113779.0859375, 100796.1171875, 288771.4375, 128337.75]","[-0.004539847373962402, -0.034586310386657715, -0.10814189910888672, -0.13840067386627197, -0.09976041316986084]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DSC_ap-rCBV_ET.csv.h5,-0.004539847373962402
Radiomic_Features_CaPTk_segm_T1_ED.csv,202637.009375,37980.804016982394,-0.30803091526031495,0.12145038105815434,"[144921.84375, 176560.703125, 237896.953125, 207144.546875, 246661.0]","[-0.24043059349060059, -0.4696629047393799, -0.2628650665283203, -0.14249098300933838, -0.42470502853393555]",best_linear_model_for_Radiomic_Features_CaPTk_segm_T1_ED.csv.h5,-0.14249098300933838
Radiomic_Features_CaPTk_segm_DSC_ap-rCBV_ET.csv,200556.725,39447.657641634214,-0.33394956588745117,0.16152213264307932,"[207137.734375, 174499.34375, 179297.25, 274667.65625, 167181.640625]","[-0.5303400754928589, -0.11085200309753418, -0.3077346086502075, -0.5018631219863892, -0.2189580202102661]",best_linear_model_for_Radiomic_Features_CaPTk_segm_DSC_ap-rCBV_ET.csv.h5,-0.11085200309753418
Radiomic_Features_CaPTk_automaticsegm_DSC_PH_ED.csv,164074.3265625,26121.87003456762,-0.09252599477767945,0.12308821341220823,"[169382.765625, 155735.1875, 195116.875, 181357.921875, 118778.8828125]","[-0.046948790550231934, -0.3120136260986328, -0.13541769981384277, 0.006926357746124268, 0.024823784828186035]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DSC_PH_ED.csv.h5,0.024823784828186035
Radiomic_Features_CaPTk_automaticsegm_DTI_TR_ED.csv,160232.140625,33529.761745266485,-0.0811007261276245,0.057399418114659755,"[197240.53125, 204239.34375, 135308.0625, 139952.6875, 124420.078125]","[-0.07812047004699707, -0.05151927471160889, -0.17889785766601562, -0.09262716770172119, -0.004338860511779785]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DTI_TR_ED.csv.h5,-0.004338860511779785
Radiomic_Features_CaPTk_segm_DTI_AD_NC.csv,150960.2125,74801.25433806759,-0.6233969330787659,0.7761627701170062,"[87997.671875, 138334.90625, 296821.59375, 123162.7578125, 108484.1328125]","[-0.28283143043518066, -2.05607271194458, -0.5067695379257202, -0.5564957857131958, 0.2851848006248474]",best_linear_model_for_Radiomic_Features_CaPTk_segm_DTI_AD_NC.csv.h5,0.2851848006248474
Radiomic_Features_CaPTk_automaticsegm_DTI_AD_ED.csv,160668.21875,31443.418088535313,-0.08747391700744629,0.06935427757590042,"[200717.859375, 195977.484375, 136189.984375, 145205.84375, 125249.921875]","[-0.09712767601013184, -0.008983373641967773, -0.18658185005187988, -0.13363909721374512, -0.011037588119506836]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_DTI_AD_ED.csv.h5,-0.008983373641967773
Radiomic_Features_CaPTk_automaticsegm_T1_ET.csv,126037.640625,17531.433461787932,-0.07822234630584717,0.06619007896785137,"[154889.6875, 112866.890625, 103880.21875, 126199.578125, 132351.828125]","[-0.009482145309448242, -0.14755189418792725, 0.012151002883911133, -0.11373603343963623, -0.13249266147613525]",best_linear_model_for_Radiomic_Features_CaPTk_automaticsegm_T1_ET.csv.h5,0.012151002883911133
Radiomic_Features_CaPTk_segm_DSC_PSR_ET.csv,184494.0875,30830.46347632484,-0.24552993774414061,0.2540701965195128,"[150511.09375, 164607.328125, 237855.578125, 198065.171875, 171431.265625]","[-0.11198067665100098, -0.04788005352020264, -0.734839677810669, -0.08300626277923584, -0.24994301795959473]",best_linear_model_for_Radiomic_Features_CaPTk_segm_DSC_PSR_ET.csv.h5,-0.04788005352020264
Radiomic_Features_CaPTk_segm_T1GD_ED.csv,206542.625,31017.318877331836,-0.3405962705612183,0.10116929298497138,"[173517.859375, 165012.171875, 228235.234375, 225000.234375, 240947.625]","[-0.4851926565170288, -0.37353479862213135, -0.21157634258270264, -0.24097275733947754, -0.391704797744751]",best_linear_model_for_Radiomic_Features_CaPTk_segm_T1GD_ED.csv.h5,-0.21157634258270264
