file_name,mse_avg,mse_std,r2_avg,r2_std,mse,r2,best_r2
Radiomic_Features_CaPTk_segm_DTI_AD_NC.csv,123436.09930032873,34767.3969091413,-0.32484036599882743,0.38310165110950944,"[102307.83843197876, 81167.77419429822, 185111.06660659236, 125964.41379941828, 122629.40346935611]","[-0.4914454619427786, -0.7931456054994135, 0.06031177846203306, -0.5919023175481533, 0.1919797765341752]",0.1919797765341752
Radiomic_Features_CaPTk_automaticsegm_DTI_AD_ED.csv,158836.74003897398,27788.31811007144,-0.07886341022496812,0.05999434682501979,"[190849.078406536, 194670.81352313506, 134043.8055373435, 135008.7050406056, 139611.2976872497]","[-0.043184774530187875, -0.002255949796255985, -0.16788264748447745, -0.05402875598463597, -0.12696492332928333]",-0.002255949796255985
Radiomic_Features_CaPTk_automaticsegm_T1_ET.csv,132658.20800462828,24314.361964683907,-0.1270188948573991,0.04026397449702814,"[178176.54119271343, 112073.53531244774, 115412.78613787262, 120649.0871373639, 136979.09024274375]","[-0.1612524923722587, -0.13948565427713855, -0.097517909296575, -0.06475189330060283, -0.17208652504042043]",-0.06475189330060283
Radiomic_Features_CaPTk_segm_DSC_PSR_ET.csv,165544.68250433408,30284.965610795476,-0.09711698302306884,0.06807074694691581,"[135121.83246149684, 173713.46759450829, 145716.34382776494, 220607.85878676563, 152563.9098511347]","[0.0017156981587553854, -0.10584915367527303, -0.06280663200680858, -0.2062678707301726, -0.11237695686184535]",0.0017156981587553854
Radiomic_Features_CaPTk_segm_T1GD_ED.csv,186679.58917746885,38443.91887531845,-0.21063561362141264,0.17329624807448432,"[142187.05781284976, 158549.5060249341, 189890.42954264226, 188223.14162705783, 254547.81087986016]","[-0.21702260646786664, -0.31974068346038376, -0.008024533951620727, -0.0381313272795718, -0.47025891694762034]",-0.008024533951620727
Radiomic_Features_CaPTk_automaticsegm_T1_ED.csv,132211.71839028766,12124.67154000307,-0.12659619813148432,0.170330347535772,"[120493.7589942838, 149463.20423851075, 130862.30241129483, 142151.69643314392, 118087.62987420495]","[0.1279032543894144, -0.3168849317927298, -0.049717618301704736, -0.07835753251264, -0.3159241624397615]",0.1279032543894144
Radiomic_Features_CaPTk_segm_DTI_RD_NC.csv,139414.99805686422,36368.730115696875,-0.5257287237869964,0.49322099739097486,"[127350.32931862923, 91586.6968015252, 202008.48622664114, 149438.58743656764, 126690.89050095799]","[-0.856515333040395, -1.0233187927358318, -0.02546540645954587, -0.8885622255997272, 0.1652181389005175]",0.1652181389005175
Radiomic_Features_CaPTk_automaticsegm_DTI_TR_ET.csv,147524.1509413772,18682.754668077083,-0.017514035128775696,0.0982571291742011,"[183054.9718947884, 141836.37198315898, 130080.90877644498, 135438.15182146235, 147210.35023103122]","[0.0756136424035827, 0.023661928602996096, -0.19611269590823954, 0.05476124560874418, -0.045494296350961916]",0.0756136424035827
Radiomic_Features_CaPTk_segm_DTI_FA_ED.csv,157046.11328450748,56535.640237741376,-0.5112910370093635,0.9129109077017284,"[96935.01452450002, 108143.60373918405, 193376.9877103953, 138545.56599411575, 248229.39445434223]","[-2.2997141010834796, 0.08452532621029296, 0.055758588025340505, 0.020999832450864897, -0.4180248306498362]",0.08452532621029296
Radiomic_Features_CaPTk_automaticsegm_DTI_RD_ED.csv,163329.057604132,30491.699831364826,-0.10801320825824226,0.06669666171277437,"[183315.64442734985, 214104.91277788405, 138998.94043075936, 140865.44938650506, 139360.34099816158]","[-0.0020068778768174145, -0.10231173758741541, -0.21105522106791685, -0.09975304431976073, -0.12493916043930087]",-0.0020068778768174145
Radiomic_Features_CaPTk_segm_T1GD_ET.csv,204228.41159815923,34514.9084266461,-0.34674820500782505,0.2704184444607639,"[206836.5724262602, 160506.4134911783, 174862.70118946486, 258068.5971067042, 220867.77377718853]","[-0.770377616353898, -0.33602966765036735, 0.07174946469617038, -0.4233589606871533, -0.27572424504387705]",0.07174946469617038
Radiomic_Features_CaPTk_segm_T2_ED.csv,159922.028200766,12393.624233597104,-0.056218533475152974,0.16493842797168734,"[156044.18180474263, 137888.55606151215, 166325.1717972142, 173931.30828608436, 165420.92305427676]","[-0.33562997775871417, -0.14776224650846337, 0.11707054331740296, 0.040694261260017184, 0.04453475231399251]",0.11707054331740296
Radiomic_Features_CaPTk_automaticsegm_T1_NC.csv,153516.28037212265,16267.05600179557,-0.11036599038077596,0.050491657626192885,"[177632.09596566905, 140786.78681439153, 152872.3610540172, 131999.5107871793, 164290.64723935616]","[-0.018101127787352622, -0.1553063606796361, -0.1540181903590041, -0.0999070507553077, -0.12449722232257932]",-0.018101127787352622
Radiomic_Features_CaPTk_segm_DSC_PH_ED.csv,147856.4816289194,17043.907538368596,0.011844947106991443,0.05427018078789801,"[139720.8788547119, 165968.04800537459, 126360.6550367487, 169892.66682735764, 137340.15942040406]","[-0.032262199669816694, -0.056542293268244004, 0.07836733567431176, 0.07103914342147843, -0.0013772506227722747]",0.07836733567431176
Radiomic_Features_CaPTk_automaticsegm_DTI_RD_NC.csv,143609.6463308222,22678.068944365143,-0.057217528842834174,0.057711845104726704,"[181912.97807811244, 152904.58459538303, 133172.41627497238, 114576.2382735052, 135482.014432138]","[-0.07042424804884728, -0.09239690432604308, -0.13868874902289008, -0.0015694588149335331, 0.0169917159985431]",0.0169917159985431
Radiomic_Features_CaPTk_automaticsegm_DTI_FA_ED.csv,169276.00590653555,22971.74016460647,-0.16092377341812653,0.11914807464223859,"[185716.03720565324, 206444.0168064737, 155754.82925550296, 149716.28524525496, 148748.8610197929]","[-0.015127471489977617, -0.06286987966759061, -0.35704415150115043, -0.1688525553980762, -0.20072480903383783]",-0.015127471489977617
Radiomic_Features_CaPTk_automaticsegm_T2_ED.csv,122527.19440458246,18403.504280985668,-0.034062530056421216,0.1388540164894131,"[110088.7560184231, 137338.20304327804, 123157.56731388446, 146662.19994999742, 95389.24569732939]","[0.20321146378594457, -0.21005441485499188, 0.012086247495181168, -0.1125740460321345, -0.06298190067610543]",0.20321146378594457
